Category,Series,Series #,Title,Permalink URL,Artwork URL,Date,Host account,Duration,Plays,Notes
Track,,,Deckard - Silent Disco Summer Daze,https://soundcloud.com/deckard-dj/2026-06-28-silent-disco,https://i1.sndcdn.com/artworks-IxFDBStKyBep55Q1-wz3nDA-t500x500.png,2026-06-29,deckard-dj,1:12:45,26,
Track,,,Deckard - After Party 2,https://soundcloud.com/deckard-dj/after-party-2-into-the-night,https://i1.sndcdn.com/artworks-PK1asqvtIMYOGieX-THwfXQ-t500x500.png,2026-06-16,deckard-dj,1:17:08,513,
Track,,,Trapper Birthday Pt. 02,https://soundcloud.com/deckard-dj/trapper-birthday-pt-02,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2024-09-14,deckard-dj,1:13:08,413,
Track,,,Trapper Birthday Pt. 01,https://soundcloud.com/deckard-dj/trapper-birthday-pt-01,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2024-09-14,deckard-dj,2:08:05,352,
Track,,,Deckard Obvious Ventures At St. Josephs Academy Of Arts,https://soundcloud.com/deckard-dj/2024-05-10-deckard-obvious-ventures-at-st-josephs-academy-of-arts,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2024-05-10,deckard-dj,4:49:00,93,
Track,,,Deckard - Aki Technologies Pt. 2,https://soundcloud.com/deckard-dj/deckard-aki-technologies-2024,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2024-08-03,deckard-dj,1:30:58,66,
Track,,,Deckard - Aki Technologies Pt. 1,https://soundcloud.com/deckard-dj/deckard-aki-technologies-1,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2024-08-03,deckard-dj,2:41:22,74,
Repost,,,RIPEcast Deckard - Breakfast of Champions LIve  '26,https://soundcloud.com/spacecowboys/ripecast-deckard-breakfast-of-champions-live-26,https://i1.sndcdn.com/artworks-VkmFL0M1ERP3vUiV-F135SQ-t500x500.png,2026-01-07,spacecowboys,1:01:38,4968,reposted 2026-01-07
Track,My Definition of Chill,,Deckard - My Definition of Chill Underworld Edition,https://soundcloud.com/deckard-dj/mdoc-underworld,https://i1.sndcdn.com/artworks-BbnhWUJRqjqcJmuH-BsGuBg-t500x500.png,2025-04-04,deckard-dj,42:32,1764,
Track,,,My Definition of LCD Soundsystem,https://soundcloud.com/deckard-dj/my-definition-of-lcd-soundsystem,https://i1.sndcdn.com/artworks-fD0wYD4pZb4t1xhP-IGAV3g-t500x500.jpg,2025-03-29,deckard-dj,1:27:10,1543,
Track,,,Deckard Breakfast of Champions 2024,https://soundcloud.com/deckard-dj/deckard-boc-24,https://i1.sndcdn.com/artworks-IEpJT1aBqgbjbmAO-tNDKYQ-t500x500.jpg,2024-01-10,deckard-dj,59:52,1866,
Track,My Definition of Chill,12,Deckard My Definition of Chill XII,https://soundcloud.com/deckard-dj/deckard-my-definition-of-chill-xii,https://i1.sndcdn.com/artworks-HZ49CKjvmHytDOmm-VAkWJQ-t500x500.jpg,2023-12-14,deckard-dj,55:17,1293,
Track,,,Deckard - Xavier 50th Birthday Zero Bond,https://soundcloud.com/deckard-dj/deckard-xavier-bday-2023-04-29,https://i1.sndcdn.com/artworks-pl9ECauNMjv6oMO7-9T0qGw-t500x500.jpg,2023-10-21,deckard-dj,3:58:56,1998,
Repost,Party People,,Deckard - Party People Jukebox Hero 2,https://soundcloud.com/spacecowboys/deckard-party-people-jukebox-hero-2,https://i1.sndcdn.com/artworks-Xx5KPWsmowszDfqg-skyqvw-t500x500.png,2023-08-09,spacecowboys,1:58:05,10979,reposted 2023-08-10
Repost,My Definition of Chill,10,Deckard - My Definition Of Chill Vol. X An End Can Be A Start,https://soundcloud.com/spacecowboys/deckard-my-definition-of-chill-vol-x-an-end-can-be-a-start,https://i1.sndcdn.com/artworks-Bqwa0etNY6Yznxmq-ImY13A-t500x500.jpg,2023-03-29,spacecowboys,1:26:41,5749,reposted 2023-03-29
Repost,,,Deckard - Breakfast Of Champions '23 - RIPEcast,https://soundcloud.com/spacecowboys/deckard-breakfast-of-champions-23-ripecast,https://i1.sndcdn.com/artworks-wSyKXB936emfvT8e-KufcYQ-t500x500.jpg,2023-01-06,spacecowboys,1:05:53,9055,reposted 2023-01-06
Repost,My Definition of Chill,4.5,My Definition of Chill Vol. 4 Part 2 (Less Chill),https://soundcloud.com/user9874824/deckard-my-definition-of-chill,https://i1.sndcdn.com/avatars-ItHnmuXCtoO9ueYv-kH1Q3w-t500x500.jpg,2022-12-25,user9874824,1:12:35,30,"Vol. 4 Part 2 'Less Chill' — companion to 'Vol. 4 Part One – More Chill'. Only public copy is a third-party re-upload (user9874824, uploaded 2022-12-25); verify before using on your site."
Track,My Definition of Chill,,Deckard My Definition Of Chill - After Party,https://soundcloud.com/deckard-dj/mdoc-afterparty,https://i1.sndcdn.com/artworks-tDvtH4LM7LvCE60t-MdCBLg-t500x500.jpg,2022-04-28,deckard-dj,1:51:12,2466,
Repost,,,Deckard at IAND+BoC 2022 RIPEcast,https://soundcloud.com/spacecowboys/deckard-boc2022,https://i1.sndcdn.com/artworks-yvs7gR6DQDUKY7Js-qyiRpg-t500x500.jpg,2022-02-03,spacecowboys,1:01:08,10894,reposted 2022-02-05
Track,,,Deckard BoC 2022,https://soundcloud.com/deckard-dj/deckard-boc-2022,https://i1.sndcdn.com/artworks-1ndI700qN5vVQU7n-B5I2Vg-t500x500.jpg,2022-02-02,deckard-dj,1:01:02,2237,
Repost,,,Deckard Live at Space Cowboys Haunted Hoedown 2021,https://soundcloud.com/spacecowboys/deckard-haunted-hoedown-2021,https://i1.sndcdn.com/artworks-Y6IqhjwRpUKj8XrR-dnLHsA-t500x500.jpg,2021-12-10,spacecowboys,1:20:28,26485,reposted 2021-12-10
Repost,My Definition of Chill,,Deckard RIPEcast My Definition of Chill 50th Birthday Set Pt. 2,https://soundcloud.com/spacecowboys/deckard-50-2,https://i1.sndcdn.com/artworks-ZMaDscOaZam2LISP-RLMz9w-t500x500.jpg,2020-07-02,spacecowboys,2:20:16,29014,reposted 2020-07-02
Repost,My Definition of Chill,,Deckard RIPEcast My Definition of Chill 50th Birthday Set Pt. 1,https://soundcloud.com/spacecowboys/deckard-50-1,https://i1.sndcdn.com/artworks-tWPm8NxXdVjLH4FI-2m4yPQ-t500x500.jpg,2020-07-01,spacecowboys,2:01:18,28982,reposted 2020-07-01
Track,,,Deckard & Rumblemunk - Duck That Shot (bootleg),https://soundcloud.com/deckard-dj/duck-that-shot-bootleg,https://i1.sndcdn.com/artworks-ZczG4I630DiWQt4F-F6LNGg-t500x500.jpg,2020-02-26,deckard-dj,4:57,3880,
Repost,,,Deckard RIPEcast Live @ IAND-BOC 2020,https://soundcloud.com/spacecowboys/deckard-iand-boc-2020,https://i1.sndcdn.com/artworks-000668124898-81xry2-t500x500.jpg,2020-01-15,spacecowboys,1:12:59,18390,reposted 2020-01-15
Repost,Party People,15,Deckard RIPEcast Party People 15 Deckard In The House,https://soundcloud.com/spacecowboys/deckard-ripecast-party-people-15-deckard-in-the-house,https://i1.sndcdn.com/artworks-000562126686-x4g7k5-t500x500.jpg,2019-07-05,spacecowboys,1:21:08,24859,reposted 2019-07-11
Repost,,,Deckard & Rumblemunk - Rocket To The Afterlife (Bootleg),https://soundcloud.com/rumblemunk/rocket-to-the-afterlife-bootletg,https://i1.sndcdn.com/artworks-000487750095-jc2wf5-t500x500.jpg,2019-02-12,rumblemunk,5:51,16361,reposted 2019-02-12
Repost,,,Deckard RIPEcast Live @ IAND-BOC 2019,https://soundcloud.com/spacecowboys/deckard-ripecast-live-iand-boc-2019,https://i1.sndcdn.com/artworks-000472472028-ccdok3-t500x500.jpg,2019-01-16,spacecowboys,57:17,37451,reposted 2019-01-16
Repost,,,Deckard_Faultline Sessions 018,https://soundcloud.com/ericriggsbee/deckard_faultline-sessions-018,https://i1.sndcdn.com/artworks-000363572190-y5bvxi-t500x500.jpg,2018-06-21,ericriggsbee,43:30,3592,reposted 2018-06-21
Repost,Party People,14,Deckard RIPEcast Party People 14 FnF Pool Party Live Mix,https://soundcloud.com/spacecowboys/deckard-ripecast-party-people-14,https://i1.sndcdn.com/artworks-000357479229-08sj9u-t500x500.jpg,2018-06-06,spacecowboys,1:00:06,25810,reposted 2018-06-06
Track,,,Deckard & Rumblemunk - Too Difficult To Broadcast,https://soundcloud.com/deckard-dj/deckard-rumblemunk-too-difficult-to-broadcast,https://i1.sndcdn.com/artworks-000299776620-k7ytsk-t500x500.jpg,2018-02-09,deckard-dj,5:45,8606,
Repost,,,Deckard RIPEcast Live from BOC 2018,https://soundcloud.com/spacecowboys/deckard-ripecast-live-from-boc-2018,https://i1.sndcdn.com/artworks-000290308977-l2sptr-t500x500.jpg,2018-01-25,spacecowboys,1:00:41,5743,reposted 2018-05-27
Repost,Party People,13,Deckard - Party People 13 Loveboat,https://soundcloud.com/spacecowboys/deckard-party-people-13-loveboat,https://i1.sndcdn.com/artworks-000273874676-5jc2zj-t500x500.jpg,2017-12-22,spacecowboys,54:13,3378,reposted 2017-12-22
Repost,,,Deckard RIPEcast Live from FnF Campout,https://soundcloud.com/spacecowboys/deckard-ripecast,https://i1.sndcdn.com/artworks-000247629952-fx7bng-t500x500.jpg,2017-10-17,spacecowboys,1:15:36,5405,reposted 2017-10-17
Track,Party People,12,Deckard - Party People 12 Breakfast Of Champions 2017,https://soundcloud.com/deckard-dj/deckard-party-people-12-breakfast-of-champions-2017,https://i1.sndcdn.com/artworks-000206759694-ytw3d8-t500x500.jpg,2017-02-08,deckard-dj,1:05:13,3428,
Repost,,,Deckard RIPEcast Breakfast of Champions 2017 (Director's Cut),https://soundcloud.com/spacecowboys/deckard-ripecast-breakfast-of-champions-2017-directors-cut,https://i1.sndcdn.com/artworks-000205788870-xnpix9-t500x500.jpg,2017-02-01,spacecowboys,1:05:26,6877,reposted 2017-02-14
Repost,,,Deckard & Rumblemunk - I Would Like To Shout (Bootleg),https://soundcloud.com/rumblemunk/deckard-vs-rumblemunk-i-would-like-to-shout,https://i1.sndcdn.com/artworks-000201132696-o8wl2k-t500x500.jpg,2017-01-04,rumblemunk,5:27,1417,reposted 2017-01-04
Repost,Party People,11,Deckard - Party People 11 Burning Man Breaks,https://soundcloud.com/spacecowboys/deckard-party-people-11-burning-man-breaks,https://i1.sndcdn.com/artworks-000183755547-v5svxn-t500x500.jpg,2016-09-20,spacecowboys,1:06:07,8395,reposted 2016-09-20
Repost,Party People,10,Deckard RIPEcast Party People 10 Motown on Mondays Live Mix,https://soundcloud.com/spacecowboys/deckard-ripecast-party-people-10-motown-edition,https://i1.sndcdn.com/artworks-000174730084-6wqvs6-t500x500.jpg,2016-08-03,spacecowboys,1:12:42,9495,reposted 2016-08-03
Repost,Party People,9,Deckard RIPEcast Party People 9 I Get Deep,https://soundcloud.com/spacecowboys/deckard-ripecast-party-people-9-i-get-deep,https://i1.sndcdn.com/artworks-000164293046-077nqi-t500x500.jpg,2016-05-24,spacecowboys,1:07:48,7616,reposted 2016-05-24
Track,,,Money Shot,https://soundcloud.com/deckard-dj/money-shot-1,https://i1.sndcdn.com/artworks-000161463344-80bkiu-t500x500.jpg,2016-05-05,deckard-dj,1:10:44,5348,
Repost,,,Deckard RIPEcast Live at SnowFest 2016,https://soundcloud.com/spacecowboys/deckard-ripecast-live-at-snowfest-2016,https://i1.sndcdn.com/artworks-000153289570-gpnoxo-t500x500.jpg,2016-03-22,spacecowboys,1:28:28,4892,reposted 2016-03-29
Repost,,,The Armory Podcast Episode 118,https://soundcloud.com/armorypodcast/118-deckard,https://i1.sndcdn.com/artworks-000139197009-tqif9o-t500x500.jpg,2015-12-11,armorypodcast,1:04:06,11257,reposted 2015-12-18 (Deckard guest mix on The Armory Podcast)
Repost,,,RIPEcast Deckard - Live from Break Boat Party,https://soundcloud.com/spacecowboys/ripecast-deckard-live-from-break-boat-party,https://i1.sndcdn.com/artworks-000132605938-n91q6q-t500x500.jpg,2015-10-13,spacecowboys,1:01:16,5332,reposted 2015-10-13
Repost,,,RIPEcast Deckard ShOOnanigans Live,https://soundcloud.com/spacecowboys/ripecast-deckardshoonanigans-live,https://i1.sndcdn.com/artworks-000130360905-3zklro-t500x500.jpg,2015-09-22,spacecowboys,45:22,3653,reposted 2015-09-22
Repost,Party People,8,Deckard - Party People 8 Revel,https://soundcloud.com/spacecowboys/party-people-8-revel,https://i1.sndcdn.com/artworks-000123930809-tdumrc-t500x500.jpg,2015-07-21,spacecowboys,1:07:06,6667,reposted 2015-07-21
Repost,,,Deckard - Digital Mind (2006),https://soundcloud.com/spacecowboys/deckard-digital-mind,https://i1.sndcdn.com/artworks-000121345462-bddvr8-t500x500.jpg,2015-06-25,spacecowboys,1:05:51,3473,reposted 2015-06-25 (original production)
Repost,My Definition of Chill,7,Deckard RIPEcast - My Definition of Chill Vol. 7 Brazil,https://soundcloud.com/spacecowboys/deckard-my-definition-of-chill-vol-7-brazil,https://i1.sndcdn.com/artworks-000119831806-ewqee2-t500x500.jpg,2015-06-02,spacecowboys,1:15:19,16405,reposted 2015-10-29
Repost,Party People,7,Deckard RIPEcast - Party People 7 - Brazil Edition,https://soundcloud.com/spacecowboys/deckard-ripecast-party-people-7-brazil-edition,https://i1.sndcdn.com/artworks-000112627144-vgrrle-t500x500.jpg,2015-03-17,spacecowboys,1:37:59,10754,reposted 2015-10-29
Repost,,,Deckard RIPEcast - Live From Ghost Ship Asylum,https://soundcloud.com/spacecowboys/deckard-ghostship-asylum,https://i1.sndcdn.com/artworks-000099691486-93y0zn-t500x500.jpg,2014-12-09,spacecowboys,57:47,4664,reposted 2014-12-16
Repost,Party People,5,Deckard RIPEcast - Party People 5 Space Cowboy Saloon Edition,https://soundcloud.com/spacecowboys/deckard-pp5,https://i1.sndcdn.com/artworks-000095372530-zdwaih-t500x500.jpg,2014-10-28,spacecowboys,1:42:59,7866,reposted 2014-10-28
Track,,,Deckard - Brazil Promo Mix,https://soundcloud.com/deckard-dj/brazil-promo-mix,https://i1.sndcdn.com/artworks-000107072990-d73h2j-t500x500.jpg,2014-09-08,deckard-dj,39:39,1108,
Repost,,,Deckard September RIPEcast (2014),https://soundcloud.com/spacecowboys/deckard-sept-ripecast,https://i1.sndcdn.com/artworks-000090041236-3eo403-t500x500.jpg,2014-09-04,spacecowboys,59:36,7416,reposted 2014-09-08
Repost,,,Deckard RIPEcast: Live From SnowFest 2014,https://soundcloud.com/spacecowboys/deckard-snowfest-2014,https://i1.sndcdn.com/artworks-000085895066-svqhg3-t500x500.jpg,2014-07-22,spacecowboys,47:55,5873,reposted 2014-07-23
Track,,,Rainy Night In San Francisco,https://soundcloud.com/deckard-dj/rainy-night-in-san-francisco,https://i1.sndcdn.com/artworks-000136421085-lwxcgh-t500x500.jpg,2014-04-01,deckard-dj,6:00,1953,
Repost,,,The Armory Podcast Mix Episode 028,https://soundcloud.com/armorypodcast/028-deckard,https://i1.sndcdn.com/artworks-000073505035-xcnp30-t500x500.jpg,2014-03-14,armorypodcast,1:05:06,4713,reposted 2014-03-14 (Deckard guest mix on The Armory Podcast)
Track,My Definition of Chill,6,My Definition of Chill Vol. 6 Jukebox Hero,https://soundcloud.com/deckard-dj/chill-vol-6,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2014-03-10,deckard-dj,1:14:44,42580,
Track,,,Deckard - Breakfast of Champions 2014,https://soundcloud.com/deckard-dj/boc-14,https://i1.sndcdn.com/artworks-000078078717-0ywmws-t500x500.jpg,2014-01-02,deckard-dj,1:01:39,14442,
Track,,,Black Rock Hoe Down 2013,https://soundcloud.com/deckard-dj/black-rock-hoe-down-2013,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2013-09-24,deckard-dj,58:30,5089,
Track,My Definition of Chill,4,Deckard - My Definition of Chill Vol. 4 Part One - More Chill,https://soundcloud.com/deckard-dj/deckard-chill4part1,https://i1.sndcdn.com/artworks-000051420044-vrkapk-t500x500.jpg,2013-06-25,deckard-dj,1:17:08,8501,
Track,,,Deckard - Live at End Up Jan. 2013,https://soundcloud.com/deckard-dj/deckard-live-at-end-up-jan,https://i1.sndcdn.com/artworks-000041445104-gegwkr-t500x500.jpg,2013-02-22,deckard-dj,1:11:43,986,
Repost,,,Deckard Live from Breakfast of Champions 2013,https://soundcloud.com/spacecowboys/deckard-boc-2013,https://i1.sndcdn.com/artworks-000039069875-yqhn1e-t500x500.jpg,2013-01-22,spacecowboys,58:53,6292,reposted 2013-01-30
Track,,,Deckard - Ghost Ship 2012,https://soundcloud.com/deckard-dj/deckard-ghost-ship-2012,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2012-11-12,deckard-dj,1:01:27,849,
Track,My Definition of Chill,3,My Definition of Chill Vol. 3,https://soundcloud.com/deckard-dj/my-definition-of-chill-v3,https://i1.sndcdn.com/artworks-000027158917-9ly6vq-t500x500.jpg,2012-03-20,deckard-dj,1:47:44,6173,
Track,,,Deckard - Breakfast of Champions '12,https://soundcloud.com/deckard-dj/deckard-breakfast-of-champions,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2012-01-11,deckard-dj,58:16,1807,
Track,,,Myagi - Viper (Deckard & Rumblemunk Remix),https://soundcloud.com/deckard-dj/myagi-viper-deckard-rumblemunk,https://i1.sndcdn.com/artworks-000022288112-u0keug-t500x500.jpg,2011-11-02,deckard-dj,6:17,1147,
Track,Party People,4,Deckard - Party People 4 (Pool Party),https://soundcloud.com/deckard-dj/deckard-party-people-4-pool,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2011-09-20,deckard-dj,1:02:16,3289,
Track,Party People,3,Deckard - Party People 3 (Ghetto Funk),https://soundcloud.com/deckard-dj/party-people-3,https://i1.sndcdn.com/artworks-000006942858-769spd-t500x500.jpg,2011-04-21,deckard-dj,1:04:19,10018,
Track,,,Deckard & Rumblemunk - Jack the Ripper,https://soundcloud.com/deckard-dj/jack-the-ripper,https://i1.sndcdn.com/artworks-000005207333-osipv1-t500x500.jpg,2011-03-01,deckard-dj,5:09,1556,
Track,,,Deckard - Ghost Ship 2010,https://soundcloud.com/deckard-dj/deckard-ghost-ship-2010,https://i1.sndcdn.com/artworks-000003475664-c50x93-t500x500.jpg,2010-12-08,deckard-dj,58:49,789,
Repost,My Definition of Chill,2,Deckard - My Definition of Chill - Vol. 2,https://soundcloud.com/spacecowboys/deckard-my-definition-of-chill,https://i1.sndcdn.com/artworks-000002016920-6gsbd9-t500x500.jpg,2010-08-03,spacecowboys,1:17:44,3687,Vol. 2 (Pt 1 counterpart to the existing 'Vol. II Part 2'). Hosted on Space Cowboys; not in Deckard's reposts — found via search.
Track,My Definition of Chill,2.5,My Definition of Chill Vol. II  Part 2,https://soundcloud.com/deckard-dj/deckard-my-definition-of-chill-vol-ii-pt-2,https://i1.sndcdn.com/artworks-000001883878-p38sa5-t500x500.jpg,2010-07-16,deckard-dj,1:17:50,6128,
Track,,,Breakfast of Champions 2010,https://soundcloud.com/deckard-dj/deckard-breakfast-of-champions-2010,https://i1.sndcdn.com/artworks-000001167530-6749kh-t500x500.jpg,2010-03-30,deckard-dj,1:13:00,1426,
Track,,,Dance to the Music (Deckard Re-edit),https://soundcloud.com/deckard-dj/dance-to-the-music-deckard-re-edit,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2009-12-03,deckard-dj,4:42,1476,
Track,,,Some People Call Me A Space Cowboy,https://soundcloud.com/deckard-dj/deckard-some-people-call-me-a-space-cowboy,https://i1.sndcdn.com/artworks-000000685437-sbhorl-t500x500.jpg,2009-09-25,deckard-dj,1:10:37,4989,
Track,Party People,1,Party People (Under Construction) 🚧,https://soundcloud.com/deckard-dj/deckard-party-people,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2009-07-23,deckard-dj,1:13:54,2216,🚧 Under Construction — never-released DnB mix. (A 2009 'Party People' teaser exists on SoundCloud; full mix never released.)
Track,My Definition of Chill,1,My Definition of Chill Vol. I,https://soundcloud.com/deckard-dj/deckard-my-definition-of-chill-vol-i,https://i1.sndcdn.com/artworks-000000048943-6dbe36-t500x500.jpg,2008-09-11,deckard-dj,1:49:57,7950,
Track,Party People,2,Deckard - Party People 2 (All Mashed Up),https://www.dropbox.com/scl/fi/k9hhyggw4lr9jrp4sdkjp/Deckard-Party-People-2-All-Mashed-Up.mp3?rlkey=smc24b8wqzvje4fky4mit6xd8&dl=0,https://i1.sndcdn.com/avatars-q1zPelv9OjS5zlwH-kjXDyw-t500x500.jpg,2010,Dropbox,,,Party People 2 — 'All Mashed Up'. Pulled from SoundCloud; hosted on Dropbox. Approx. 2010 (falls between Vol. 1 and Vol. 3).
